Behavior ID	Object Name	Image Name	Raw Kaze Description
0x0ABC	Triangle Particle	Triangle Particle.png	Tiny triangle (punching something) //dirt (model ID 8a)
0x0AD8			Tiny triangle spawn (punching something)
0x0AE8			Tiny triangle spawn (punching something)
0x0AFC	Warp Door	Warp Door.png	Door Warp Behavior
0x0B0C	Door	Door.png	Door Behavior
0x0B58	Grindel	Grindel.png	Grindel Behavior
0x0B8C	Thwomp	Thwomp.png	Thwomp Behavior 2
0x0BC8	Thwomp	Thwomp.png	Thwomp Behavior
0x0C04	Falling Block	Falling Block.png	Used by all tumbling bridge platforms
0x0C28	Falling Block Spawner	Falling Block Spawner.png	Tumbling Bridge Behavior(WF)
0x0C44	Falling Block Spawner	Falling Block Spawner.png	Tumbling platform group (Big Boo's Haunt)
0x0C64	Falling Block Spawner	Falling Block Spawner.png	Tumbling platform
0x0C84	Wall Flame	Flame.png	Burning
0x0CC8			trolls you. warps up, if you are down, warps down, if you are up//Another elevator (re-check)
0x0CFC	RR Elevator Platform	RR Elevator Platform.png	Elevator platform in RR (param2 = track#)
0x0D30	HMC Elevator	HMC Elevator.png	Elevator platform in HMC (param2 = track#)
0x0D6C			Water Mist Behavior
0x0D98			Spawn behavior 0x13000D6C
0x0DB4	Shard	Box Shard.png	>>>>>>>>>>Unused Behavior?
0x0DD8	Waterfall Mist	Waterfall Mist.png	Water Mist Behav
0x0DFC			>>>>>>>>>>Unused Behavior?
0x0E24	White Puff Spawner	White Puff Spawner.png	>White puffs (from ground pound)
0x0E3C	Sand Spawner	Sand Spawner.png	Sand (from ground)
0x0E40			>>>>>>>>>>Unused Behavior?
0x0E58	Snow Spawner	Snow Spawner.png	Snow (from ground)
0x0E70	Wind Particle	Wind Particle.png	Wind (from collision mapped areas)
0x0E88	Toad	Toad.png	Toad at end
0x0EAC	Peach	Peach.png	Peach at the end
0x0ED0			spawns piranha particles?
0x0F08	Monkey Cage	Monkey Cage.png	Ukiki Behavior
0x0F14			>>>>>>>>>>Unused Behavior?
0x0F2C			>>>>>>>>>>Unused Behavior?
0x0F48	Monkey Cage	Monkey Cage.png	Little Cage Behavior
0x0F9C	Rising and Lowering 3-Platform Group	Rising and Lowering 3-Platform Group.png	Sinking Platforms (Bowser's Fire Sea)
0x0FC8	Rising and Lowering Mesh Platform	Rising and Lowering Mesh Platform.png	Sinking Cage Platform (Bowser's Fire Sea)
0x1000	Rising and Lowering Pole	Rising and Lowering Pole.png	Moving pole (Dire, Dire Docks)
0x1030	BitFS Tilting Inverted Pyramid Platform	BitFS Tilting Inverted Pyramid Platform.png	Tilting Inverted Pyramid
0x1064	Springy Staircase	Springy Staircase.png	Squishable Platforms
0x1098			related to unused beta flame
0x10B8			Flame moving back and forth (unused)
0x10D8	RR Rotating Flame Shooter Platform	RR Rotating Flame Shooter Platform.png	Rotating platform with fire (Rainbow Ride) 
0x1108	Flame Spawner	Flame Spawner.png	Flame Thrower Behavior 
0x1124	Flame	Flame.png	flame from flamethrower
0x1168	Lava Bubble Spawner	Lava Bubble Spawner.png	Jumping FireBall (fireball spawner)
0x1184	Lava Bubble	Lava Bubble.png	Flame (from jumping fireballs)
0x11D0	Shockwave	Shockwave.png	Bowser shock wave
0x11EC	Mario Burning Flame	Mario Burning Flame.png	Flame (from Mario)
0x1214	Mario Burning Smoke	Black Smoke.png	Black smoke (from Mario)
0x1254	Black Flame Smoke	Black Smoke.png	Black smoke (from Bowser flames)
0x127C	Grey Flame Smoke	Grey Smoke.png	Black smoke (moving upward)
0x1298	WF Water Level Checker	WF Water Level Checker.png	Multiple Coins
0x12B4	Spindrift	Spindrift.png	SpinDrift Behavior
0x12F4			Tower Platform Group (also disables collision type 0x65 camera settings)
0x1318	WF Tower Platform	WF Tower Platform.png	Whomp's Fortress sliding platforms
0x1340	Checkered Elevator	Checkered Elevator.png	Whomp's Fortress elevator platform
0x1368	WF Floating Square Platform	WF Floating Square Platform.png	Whomp's Fortress solid platform
0x1390	Tree Particle Spawner	Tree Particle Spawner.png	>>>>>>>>>>Unused Behavior?
0x13A8	Snow	Snow.png	Snow from tree
0x13C4	Leaf	Leaf.png	Leaves from tree
0x13DC			Another tilting platform
0x1408	Revolving Diamond Platform	Revolving Diamond Platform.png	Moving on a Squarish Path
0x142C	Piranha Plant Sleeping Bubble	Bubble.png	Bubble from Piranha Plant
0x1448	Piranha Plant Wake Up Bubble	Bubble.png	Bubbles (after waking Piranha Plant)
0x1468	! Switch	! Switch.png	Purple switch (Bowser staircase)
0x1478	! Switch	! Switch.png	Floor Switch For Grills
0x1484	! Switch	! Switch.png	floor switch with hardcoded modell
0x14AC	! Switch	! Switch.png	Floor Switch Shows Hidden Objects
0x14BC	Hidden Box	Cork Box.png	Hidden Object
0x14E0	Cork Box	Cork Box.png	Breakable Box
0x1518	Pushable Block	Pushable Block.png	Pushable
0x1548	Heave-Ho	Heave-Ho.png	Heave-Ho Behavior
0x15A4	Heave-Ho Anchor	Heave-Ho Anchor.png	Unknown, GFX 78/64?
0x15C0			Cabin Door?
0x15E4			Explodes when pounded (unused ice square in Snowman's Land)
0x1608			Beta trampoline behavior?
0x1634			spawned by beta rampoline?
0x1650	Crazy Box	Crazy Box.png	Jumping Box
0x167C	Boo Cage	Boo Cage.png	Cage (inside of Boo)
0x16AC			>>>>>>>>>>Unused Behavior?
0x16B8			Igloo Thing
0x16E4	Bowser Key (Collectible)	Bowser Key.png	Bowser Key 2 Behavior
0x1714	Grand Star	Power Star.png	Grand Star
0x1744			Beta Boo key (inside of Boo)
0x1778			Beta Boo key (outside of Boo)
0x179C	Bullet Bill	Bullet Bill.png	Bullet Bill Behav
0x17F4	White Puff	White Puff.png	White puff / smoke type
0x1820			>>>>>>>>>>Unused Behavior?
0x1828	Bowser Tail Anchor	Bowser Tail Anchor.png	Bowser tail anchor
0x1850	Bowser	Bowser.png	Bowser Behavior
0x18CC	Bowser Body Anchor	Bowser Body Anchor.png	Bowser body anchor
0x1904	Flame Breath Spawner	Flame Breath Spawner.png	Bowser flame spawn
0x1920	BitFS Fight Platform	BitFS Fight Platform.png	Tilting Bowser Lava Platform
0x1958	Falling Block	Falling Block.png	Falling Bowser Platform
0x1984	Flame Breath	Flame Breath.png	Blue flame (from Bowser)
0x19C8	Falling Flame	Falling Flame.png	Flame (floating and landing)
0x1A0C	Blue Lava Bubble Spawner	Blue Lava Bubble Spawner.png	Blue flames group (x3)
0x1A30	Blue Lava Bubble Flame	Blue Flame.png	Flame (bouncing) unused?
0x1A74	Flame Breath	Flame Breath.png	Flame (moving forward growing)
0x1AA4	Flame	Flame.png	Flame (from Bowser)
0x1AE8	Flame	Flame.png	Flame (large and burning out)
0x1B2C	Aquarium Fish	Blue Fish.png	Blue fish
0x1B54	Aquarium Fish Spawner	Blue Fish Spawner.png	Fish groups in castle tanks
0x1B70	Checkered Elevator Spawner	Checkered Elevator Spawner.png	Checkerboard elevators group
0x1B88	Checkered Elevator	Checkered Elevator.png	rotates 180, stop, rotates 180;Rotating checkered platform (unused?)
0x1BB4	Bowser Key (Opening Door)	Bowser Key.png	Bowser key (going into hole and turning) 1
0x1BD4	Bowser Key (Putting Away)	Bowser Key.png	Bowser key (going into hole and turning) 2
0x1BF4			Invisible object underneath castle bridge ??
0x1C04	Poundable Pillar	Poundable Pillar.png	Water Level Pillar
0x1C34			Dire, Dire Docks warp
0x1C58	Moat Grills	Grills.png	Moat grills (disable if water is drained)
0x1C7C	TTC Painting Minute Hand	TTC Painting Minute Hand.png	Clock Big Arm
0x1C8C	TTC Painting Hour Hand	TTC Painting Hour Hand.png	Rotating Small Clock Arm
0x1CB0	Ukiki	Ukiki.png	Ukiki the monkey (opens cage)
0x1D0C			>>>>>>>>>>Unused Behavior?
0x1D14	LLL Rotating Hexagonal Platform	LLL Rotating Hexagonal Platform.png	Rotating CCW
0x1D40	LLL Sinking Stone Platform	LLL Sinking Stone Platform.png	Sinks When Stepping on it
0x1D70			>>>>>>>>>>Unused Behavior?
0x1D78	LLL Transporting Cage Platform	LLL Transporting Cage Platform.png	Moving Horizontally
0x1DA4			Snow Ball
0x1DA8	Fire Bar	Fire Bar.png	Rotating CW With Fire Bars
0x1DCC	Flame	Flame.png	Flame (on rotating hexagon in LLL)
0x1E04	Rising and Lowering Wood	Rising and Lowering Wood.png	Piece of wood (LLL)//slightly moving up and down
0x1E30	Rising and Lowering Wood Spawner	Rising and Lowering Wood Spawner.png	Floating Wood Bridge
0x1E4C	Volcano Flame	Volcano Flame.png	Flames (from volcano)
0x1E6C	Rotating Volcano Platform	Rotating Volcano Platform.png	Rotating platform (stops and produces fire if stepped on) (LLL)
0x1E94	Rising and Lowering Long Platform	Rising and Lowering Long Platform.png	Slow and minimal tilting movement (LLL)
0x1EC4	Rising and Lowering 4-Platform Group	Rising and Lowering 4-Platform Group.png	Slow and minimal up-down movement (LLL)
0x1EF8	LLL Tilting Inverted Pyramid Platform	LLL Tilting Inverted Pyramid Platform.png	Tilting Inverted Pyramid
0x1F30			>>>>>>>>>>Unused Behavior?
0x1F3C	Koopa Shell	Shell.png	koopa shell
0x1F68			Flame (Koopa shell in lava)
0x1F90	Tox Box	Tox Box.png	Tox Box
0x1FBC	Piranha Plant	Piranha Plant.png	Piranha Plant Behav 2
0x2018	LLL Metal Mesh Platform	LLL Metal Mesh Platform.png	Solid object (LLL hexagonal mesh)
0x2038	Bowser Puzzle Piece	Bowser Puzzle Piece.png	Bowser puzzle piece
0x2068	Bowser Puzzle Coin Spawner	Bowser Puzzle Coin Spawner.png	Bowser Puzzle (Only in Lethal Lava Land)
0x2088	Mother Penguin	Penguin.png	Tuxie's Mother Behavior
0x20D8			related to penguin baby?
0x20E0			>>>>>>>>>>Unused Behavior?
0x20E8	Baby Penguin	Baby Penguin.png	Small Penguin
0x213C	Fish Spawner	Blue Fish Spawner.png	Fish 2
0x214C	Fish Spawner	Blue Fish Spawner.png	Fish 3
0x215C	Fish Spawner	Blue Fish Spawner.png	Large group of fish
0x2178	Blue Fish	Blue Fish.png	Group of fish
0x2194	Express Elevator	Express Elevator.png	Moves down when stepped on, and then back to initial position (WDW "express elevators")
0x21C0	Express Elevator	Express Elevator.png	Solid object (WDW express elevator platform)
0x21E4	Bub Spawner	Bub Spawner.png	Chirp Chirp
0x220C	Bub	Bub.png	Cheep-cheep
0x2250	Item Block	Item Block	[!] Box Behavior 
0x227C	Exclamation Mark	Exclamation Mark.png	Rotating exclamation mark
0x229C	Sound Effect	Sound Effect.png	This behavior just plays a sound // Called by some spawned objects
0x22B8	JRB Rock	JRB Rock.png	Rock Solid
0x22D8	Bowser's Sub Gate	Bowser's Sub Gate.png	Bowser Sub Door Behavior // Disable if first star is complete
0x2308	Bowser's Sub	Bowser's Sub.png	Bowser's Sub Behavior //Disable if first star is complete
0x2338	Sushi	Sushi.png	Sushi the shark
0x2388	Sushi Hitbox	Sushi Hitbox.png	Sushi the shark collision child
0x23A4	Skull Crate	Skull Crate.png	Sliding box (Jolly Roger Bay
0x23D0	JRB Floating Ship Part	JRB Ship Part.png	Ship Part 3
0x23EC			In Sunken Ship 3?
0x241C			Sunken Ship part
0x243C			>>>>>>>>>>>>>>>unused?
0x244C	JRB Sunken Ship Part	JRB Ship Part.png	Sunken Ship Part 2
0x246C			In Sunken Ship?
0x2480			Description: In Sunken Ship 2?
0x24AC	Dust Spawner	Dust Spawner.png	Marios dust //White puff generator
0x24DC	Dust Glow	Dust Glow.png	spawned by 24AC // White puff (from Mario)
0x2500	Dust	Dust.png	spawned by 24AC // White puff from Mario 2
0x2528	White Puff	White Puff.png	White puff / smoke type
0x2558			Purple switch (for hidden boxes)
0x2568	Blue Coin Block	Blue Coin Block.png	Blue Coins Switching
0x2588	Blue Coin	Blue Coin.png	Hidden Blue Coin
0x25C0	Openable Gate	Openable Gate.png	Cage door (BOB & HMC)
0x25E0	Openable Gate Behavior	Openable Gate Behavior 2.png	Openable grills
0x25F8	Crystal Tap	Crystal Tap.png	Water Level Trigger
0x2620			Initialize behavior 0x130025F8
0x2634	Tweester Sand	Dirt.png	Sand particle from Tweester
0x2650	Tweester	Tweester.png	Tweester Behav
0x2684	Boo Spawner	Boo Spawner.png	Spawn ghosts (spawn Big Boo when all are destroyed)
0x269C			Animated texture ??
0x26D4	Castle Boo	Boo.png	Boo in Castle
0x2710	Cage Boo	Big Boo.png	Boo Buddy With Cage
0x2768	Big Boo (Balcony)	Big Boo.png	Patrolling Boo Buddy (gives star)
0x277C	Big Boo (Merry-Go-Round)	Big Boo.png	spawned boo
0x2790	Big Boo (Lobby)	Big Boo.png	Boo giving star
0x27D0			Boo Buddy group (x3)
0x27E4	Boo	Boo.png	Boo Buddy 3 Behavior
0x27F4	Boo (Merry-Go-Round)	Boo.png	spawned boo 2 gives star?
0x2804	Boo (Activates Text)	Boo.png	Boo Buddy 2 Behavior
0x286C	BBH Lobby Step	BBH Lobby Step.png	Hidden Staircase Step
0x2898			spawned from first boo boss, tumbling bridge
0x28CC	Loose Floor Panel	Loose Floor Panel.png	Tilts on z-axis when stepped on (Haunted House floor platforms)
0x28FC	Bookshelf	Bookshelf.png	Tumbling Bookshelf
0x292C	Mesh Elevator	Mesh Elevator.png	Mesh Elevator
0x2968	Merry-Go-Round	Merry-Go-Round.png	Rotating Merry-Go-Round
0x2998	Shortcut Sound Effect	Sound Effect.png	Plays music track when touched (used along with penguin shortcut)
0x29B0			Inside Cannon
0x29B4			>>>>>>>>>>Unused Behavior?
0x29E4			Static checkered platform (unused?)
0x2A10			>>>>>>>>>>Unused Behavior?
0x2A20	Star??	Power Star.png	Star ??
0x2A48	Landscape Visual	Landscape Visual.png	Static object
0x2A54			>>>>>>>>>>Unused Behavior?
0x2A5C			Castle Floor Trap
0x2A7C	BitDW Trap Door	BitDW Trap Door.png	Floor trap in castle
0x2AA4	Tree	Tree.png	Tree Behavior
0x2AD0	Glow	Glow.png	Sparkles (power-ups)
0x2AF0	Glow	Glow.png	Sparkles (power-ups)
0x2B08	Sparkles	Sparkles.png	Sparkles (from special triple jump)
0x2B14			>>>>>>>>>>Unused Behavior?
0x2B5C	Scuttlebug	Scuttlebug.png	Scutlebug Behavior
0x2BA0	Scuttlebug Spawner	Scuttlebug Spawner.png	Scutlebug spawner
0x2BB8	King Whomp	King Whomp.png	Whomp King Boss Behav
0x2BCC	Whomp	Whomp.png	Small Whomp
0x2C14	Splash	Splash.png	Water Splash
0x2C60	Splash Bubble (In Air)	Splash Bubble.png	Water drops//starting at 2C60? [also blue fish that randomly appears from splashing]
0x2C7C	Water Ripples	Water Ripples.png	White wave on water surface
0x2CB0	Object Bubble Ripples	Water Ripples.png	>>>>>>>>>>Unused Behavior?
0x2CE0	Mario Water Waves	Water Waves.png	Waves on surface
0x2D28	Water Ripples	Water Ripples.png	White wave on water surface 2//spot on ground?
0x2D50			Waves generator
0x2D7C			Wave on surface (shrinking)
0x2DB0	Sushi Water Waves	Water Waves.png	Water type
0x2DC0	Water Waves	Water Waves.png	Wave trail on surface
0x2E04	Wind Particle	Wind Particle.png	Tiny white particles from wind generators
0x2E20	Wind Behavior	Wind Behavior.png	Wind particle (blows Mario away)
0x2E3C	Wind Particle Spawner	Wind Particle Spawner.png	Wind Blowing (Snow Man)
0x2E58	Walking Penguin	Penguin.png	Walking Penguin
0x2EA8	WF Pole Ball	WF Pole Ball.png	Yellow Ball (Pole in WF)
0x2EC0	Mario	Mario.png	Mario's behavior!
0x2EF8	Toad	Toad.png	Toad Message
0x2F40	Star to Unlock Door	Power Star.png	SStar (held up when opening a sealed door)
0x2F60	Mario Spawner	Mario Spawner.png	WARPS
0x2F64	Mario Spawner	Mario Spawner.png	WARPS
0x2F68	Mario Spawner	Mario Spawner.png	
0x2F6C	Mario Spawner	Mario Spawner.png	
0x2F70	Mario Spawner	Mario Spawner.png	
0x2F74	Mario Spawner	Mario Spawner.png	
0x2F78	Mario Spawner	Mario Spawner.png	
0x2F7C	Mario Spawner	Mario Spawner.png	
0x2F80	Mario Spawner	Mario Spawner.png	
0x2F84	Mario Spawner	Mario Spawner.png	
0x2F8C	Mario Spawner	Mario Spawner.png	
0x2F88	Mario Spawner	Mario Spawner.png	
0x2F90	Mario Spawner	Mario Spawner.png	
0x2F94	Mario Spawner	Mario Spawner.png	
0x2FA0			>>>>>>>>>>Unused Behavior?
0x2FC0			Yellow background in menu
0x2FE4			Menu Growing button
0x3008			Gray button
0x302C	Selectable Star	Power Star.png	Star in act selector
0x3048	Course Select	Course Select.png	act selector
0x3068	Yellow Coin	Yellow Coin.png	Coin inside of formation
0x30A4	Blue Coin	Blue Coin.png	Moving Blue Coin
0x30D4	Blue Coin	Blue Coin.png	Blue coin (sliding)
0x3104	Blue Coin	Blue Coin.png	Blue coin (jumping)
0x3134	Seaweed	Seaweed.png	Seaweed
0x3158	Seaweed Spawner	Seaweed Spawner.png	seaweed boundle
0x3174	Bob-omb	Bob-omb.png	Bob-Omb Behavior
0x31AC	Bob-omb Fuse Smoke	Bob-omb Fuse Smoke.png	bob omb DUST
0x31DC	Bob-omb Buddy	Bob-omb Buddy.png	Pink Bob-omb with message
0x3228	Bob-omb Buddy	Bob-omb Buddy.png	Pink Bob-omb Opening Cannon Behav
0x3274	Cannon Lid	Cannon Lid.png	Cannon Trap Door
0x32A8	Whirlpool	Whirlpool.png	Whirlpool death
0x32C8	Jet Stream Bubbles	Jet Stream Bubbles.png	Bubbles
0x32E0	Sign	Sign.png	Message Panel
0x3324	Bulletin Board	Bulletin Board.png	Sign On Wall
0x3354	Amp	Amp.png	Amp 2 Behavior
0x3388	Amp	Amp.png	Amp Behavior
0x33BC	Butterfly	Butterfly.png	Butterfly Behav
0x33EC	Hoot	Hoot.png	Owl Behavior
0x3420			beta green shell?
0x3454			carry something
0x345C			carry something
0x3464			carry something
0x346C			carry something
0x3474			carry something
0x347C			carry something
0x3484	Object Bubble	Splash Bubble.png	Dirt Behavior
0x34C4	Object Water Waves	Water Waves.png	Water Wave
0x3510	Explosion	Bob-omb Explosion.png	Explosion Behavior
0x3558	Explosion Smoke	Grey Smoke.png	Large white smoke cloud
0x3588	Cork Box Dust	Cork Box Dust.png	Smoke behavior
0x35B0			White particle / water drop
0x3604			>>>>>>>>>>Unused Behavior?
0x360C			>>>>>>>>>>Unused Behavior?
0x3614	Grabbable Cork Box / Bob-omb Spawner	Grabbable Cork Box Bob-omb Spawner.png	breakable box "backup", spawnf obj->f4
0x362C	Bully	Bully.png	Small Bully Behavior
0x3660	Big Bully	Big Bully.png	Big Bully Boss Behavior
0x3694	Bully	Bully.png	Bully Behavior
0x36C8			small ice bully
0x3700	Chill Bully	Chill Bully.png	Chill Bully Boss Behavior
0x3738	Manta Ring Spawner	Manta Ring Spawner.png	Manta Rings Generator
0x3750	Manta Ring	Manta Ring.png	water bubble replenishes health//Water rings
0x3798	Manta Ring	Manta Ring.png	water bubble replenishes health (used under water) // Water rings
0x37E0			something invisible, that just does nothing.
0x37EC	Floating Mine	Floating Mine.png	Bowser Bomb Behavior
0x381C	Floating Mine Explosion	Floating Mine Explosion.png	Explosion (from spikey bombs) pt.1
0x3840	Floating Mine Smoke	Floating Mine Smoke.png	Explosion (from spikey bombs) pt.2
0x3868	Celebration Star / Key	Celebration Star & Key.png	STAR CELEBRATION STAR
0x3888	Sparkles (Big)	Sparkles (Big).png	Sparkles (when Mario grabs a key)
0x38B0	White Puff Spawner	White Puff Spawner 2.png	related to act selector? //White puff type?! [collecting grand star puff spawner]
0x38D0			Bascule Bridge Behavior
0x38E8	LLL Drawbridge	LLL Drawbridge.png	rotates 45 degree around x, then goes back. mario is not affected//Tilting bridge part (LLL)
0x3910	Small Bomp	Small Bomp.png	Moves Back & Forth 1 //Rock Formation with eyes
0x3940	Large Bomp	Large Bomp.png	Moves Back & Forth 2 // Large Rock With Eyes
0x3970	WF In-and-Out Platform	WF In-and-Out Platform.png	Sliding Brick Platform 2
0x39A0	Moneybag	Moneybag.png	Moneybag transforming
0x39D4	Moneybag Coin	Moneybag Coin.png	Moneybag Behav
0x3A08	Bowling Ball	Bowling Ball.png	Rolling Ball
0x3A30	Bowling Ball	Bowling Ball.png	Rolling metal ball
0x3A58	Bowling Ball	Bowling Ball.png	Tiny metal ball
0x3A80	Bowling Ball Spawner	Bowling Ball Spawner.png	Metal Ball Generator 2
0x3AA4	Bowling Ball Spawner	Bowling Ball Spawner.png	Metal Ball Generator
0x3AC8	Bowling Ball Spawner	Bowling Ball Spawner.png	Mini Metal Balls Generator
0x3AE0	Cruiser Wing	Cruiser Wing.png	Flapping Wing
0x3B00	Spindel	Spindel.png	Spindel Behavior
0x3B30	Pyramid Up-and-Down Step	Pyramid Up-and-Down Step.png	Moving Up And Down
0x3B60	Pyramid Elevator	Pyramid Elevator.png	Pyramid Elevator
0x3B98	Elevator Track Ball	Bowling Ball.png	Metal balls for pyramid elevator
0x3BB4	Pyramid Top	Pyramid Top.png	Pyramid Top Behav
0x3BEC	Pyramid Shard	Box Shard.png	Pyramid top explosion
0x3C0C	Pyramid Top Activator	Pyramid Top Activator.png	>>>>>>>>>>Unused Behavior?
0x3C30	Waterfall Sound Effect	Sound Effect.png	PlaySound loop (waterfall)
0x3C44	Lavafall Sound Effect	Sound Effect.png	PlaySound loop (volcano)
0x3C58	Castle Flag	Castle Flag.png	Castle Flag Waving
0x3C7C	Bird Sound Effect	Sound Effect.png	PlaySound loop (birds)
0x3C90			L Is Real 2041 // Ambient Sounds?
0x3CA4	Falling Sand Sound Effect	Sound Effect.png	PlaySound loop (sand)
0x3CB8	Cannon Grills	Grills.png	Hidden at 120 Stars
0x3CE4	Snowman's Body	Snowman's Body.png	Snowman's Bottom Behavior
0x3D0C	Snowman's Head	Snowman's Head.png	Snowman's Head Behav
0x3D34	Snowman Path Checkpoint	Snowman Path Checkpoint.png	Checkpoint for big snowman's body
0x3D4C	Snowman's Body	Snowman's Body.png	Big snowman (whole body)
0x3D74	Rolling Rock	Rolling Rock.png	Big boulder
0x3DA0	Rolling Rock Spawner	Rolling Rock Spawner.png	Drops Giant Boulders
0x3DB8	Wing Cap	Wing Cap.png	Wing cap
0x3DD8	Metal Cap	Metal Cap.png	metal cap
0x3DF8	Mario's Cap	Mario's Cap.png	normal cap
0x3E1C	Vanish Cap	Vanish Cap.png	Vanish cap
0x3E3C	Power Star	Power Star.png	Collect Star
0x3E64	Power Star	Power Star.png	Star spawn (with coordinates)
0x3E8C	Red Coin Star Spawner	Red Coin Star Spawner.png	Hidden Red Coin Star Behavior 
0x3EAC	Red Coin	Red Coin.png	Red Coin Behavior
0x3EE4	Red Coin Star Spawner	Red Coin Star Spawner.png	Red coin star for bowser courses with save
0x3EFC	Secret Star Spawner	Secret Star Spawner 3.png	Hidden Star
0x3F1C	Secret	Secret.png	Check Point
0x3F40	Rolling Log 2?	Rolling Log.png	Pitoune 2
0x3F78	Volcano Crusher	Volcano Crusher.png	falling when mario is near // Falling block inside volcano
0x3FA4	Rolling Log	Rolling Log.png	Pitoune
0x3FDC	1-Up	1-Up.png	1up "walking"
0x4010	1-Up	1-Up.png	1up running away
0x4044	1-Up	1-Up.png	Sliding 1-up
0x407C	1-Up	1-Up.png	1-up!
0x40B4	1-Up	1-Up.png	1-up (jumps when approached)
0x40EC	1-Up	1-Up.png	Hidden 1-up (enable when behavior 0x13004124 is touched)
0x4124	1-Up Activator	1-Up Activator.png	Hidden 1-up Trigger
